City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
126,Arraial Do Cabo,BR,2021-11-26 00:43:26,-22.9661,-42.0278,73.36,83,20,13.8,few clouds
127,Kavaratti,IN,2021-11-26 00:37:54,10.5669,72.642,81.9,73,100,3.22,overcast clouds
128,Saskylakh,RU,2021-11-26 00:43:27,71.9167,114.0833,-14.91,98,28,8.05,scattered clouds
129,Saint-Augustin,CA,2021-11-26 00:43:27,51.226,-58.6502,44.47,98,100,16.51,overcast clouds
130,Kruisfontein,ZA,2021-11-26 00:43:28,-34.0033,24.7314,61.88,79,91,18.68,overcast clouds
131,Faanui,PF,2021-11-26 00:43:28,-16.4833,-151.75,82.36,67,8,17.18,clear sky
132,Punta Arenas,CL,2021-11-26 00:37:46,-53.15,-70.9167,46.51,61,20,16.11,few clouds
133,Khatanga,RU,2021-11-26 00:43:29,71.9667,102.5,-11.24,99,100,3.74,overcast clouds
134,Altay,CN,2021-11-26 00:44:30,47.8667,88.1167,33.01,79,100,3.18,light snow
135,Teguldet,RU,2021-11-26 00:44:30,57.3064,88.1667,4.71,94,51,6.98,broken clouds
136,Alice Springs,AU,2021-11-26 00:44:30,-23.7,133.8833,69.35,60,90,13.8,overcast clouds
137,Los Llanos De Aridane,ES,2021-11-26 00:44:31,28.6585,-17.9182,60.55,92,75,4.0,heavy intensity shower rain
138,Leningradskiy,RU,2021-11-26 00:44:31,69.3833,178.4167,-23.15,97,99,5.06,overcast clouds
139,Rock Springs,US,2021-11-26 00:44:32,41.5875,-109.2029,38.64,22,1,19.57,clear sky
140,Garland,US,2021-11-26 00:44:32,32.9126,-96.6389,53.98,43,1,1.99,clear sky
141,Mangit,UZ,2021-11-26 00:44:32,40.5971,70.9607,43.88,63,100,14.52,light rain
142,Waddan,LY,2021-11-26 00:44:33,29.1614,16.139,68.59,37,5,8.28,clear sky
143,Miklavz Na Dravskem Polju,SI,2021-11-26 00:44:33,46.5058,15.6972,41.16,93,90,2.3,moderate rain
144,Borger,NL,2021-11-26 00:44:34,52.9233,6.7931,40.78,93,100,6.71,overcast clouds
145,Aklavik,CA,2021-11-26 00:44:34,68.2191,-135.0107,-2.2,78,90,9.22,overcast clouds
146,Rorvik,NO,2021-11-26 00:44:34,64.8621,11.2373,34.68,64,100,7.65,light snow
147,Turukhansk,RU,2021-11-26 00:44:35,65.8167,87.9833,1.06,96,100,7.83,overcast clouds
148,Saint George,US,2021-11-26 00:41:39,37.1041,-113.5841,57.67,23,1,0.0,clear sky
149,Vaini,TO,2021-11-26 00:37:58,-21.2,-175.2,87.96,79,75,8.05,broken clouds
150,Superior,US,2021-11-26 00:44:36,46.7208,-92.1041,16.7,59,1,3.44,clear sky
151,Manoel Urbano,BR,2021-11-26 00:44:36,-8.8389,-69.2597,77.29,71,100,3.22,overcast clouds
152,Dunajska Streda,SK,2021-11-26 00:44:37,47.9927,17.6121,43.02,93,100,6.69,overcast clouds
153,Gigmoto,PH,2021-11-26 00:44:37,13.7796,124.39,82.56,82,100,5.03,overcast clouds
154,Upernavik,GL,2021-11-26 00:44:38,72.7868,-56.1549,22.15,75,100,9.64,overcast clouds
