City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Rovaniemi,FI,2021-11-23 05:47:00,66.5,25.7167,260.82,85,0,1.03
233,Lata,PT,2021-11-23 05:45:24,40.1629,-8.3327,280.27,80,11,1.19
234,Geraldton,AU,2021-11-23 05:47:01,-28.7667,114.6,297.38,50,0,10.29
235,Kollam,IN,2021-11-23 05:47:01,8.8833,76.6,302.08,74,80,2.76
236,Roald,NO,2021-11-23 05:47:02,62.5833,6.1333,281.23,81,75,8.75
237,Nanortalik,GL,2021-11-23 05:47:03,60.1432,-45.2371,267.06,74,4,6.24
238,Padang,ID,2021-11-23 05:47:03,-0.9492,100.3543,303.18,63,100,3.33
239,Maragogi,BR,2021-11-23 05:47:04,-9.0122,-35.2225,297.78,81,74,1.61
240,Sept-Iles,CA,2021-11-23 05:44:40,50.2001,-66.3821,274.29,76,90,2.68
241,Vostok,RU,2021-11-23 05:47:05,46.4856,135.8833,260.75,91,100,6.36
242,Baghdad,IQ,2021-11-23 05:45:50,33.3406,44.4009,286.1,67,0,2.06
243,Seoul,KR,2021-11-23 05:37:33,37.5683,126.9778,275.91,48,75,5.14
244,Urengoy,RU,2021-11-23 05:47:05,65.9667,78.3667,265.38,95,100,4.26
245,Otane,NZ,2021-11-23 05:47:06,-39.8833,176.6333,290.03,74,99,2.47
246,Dikson,RU,2021-11-23 05:47:07,73.5069,80.5464,250.97,96,100,8.23
247,Haines Junction,CA,2021-11-23 05:46:51,60.7522,-137.5108,256.12,85,100,1.03
248,Tungor,RU,2021-11-23 05:47:07,53.3808,142.9564,274.23,86,100,15.38
249,Rawson,AR,2021-11-23 05:47:08,-43.3002,-65.1023,283.67,58,82,7.59
250,Klaksvik,FO,2021-11-23 05:47:08,62.2266,-6.589,281.66,86,98,14.09
251,Lobatse,BW,2021-11-23 05:47:09,-25.2167,25.6667,289.77,31,58,3.18
252,College,US,2021-11-23 05:45:22,64.8569,-147.8028,256.25,70,90,5.66
253,Lorengau,PG,2021-11-23 05:45:36,-2.0226,147.2712,299.75,85,100,3.09
254,Potsdam,DE,2021-11-23 05:47:10,52.3989,13.0657,277.71,97,64,2.24
255,Panguipulli,CL,2021-11-23 05:45:42,-39.6333,-72.3333,282.99,75,0,1.3
256,Olinda,BR,2021-11-23 05:47:11,-8.0089,-34.8553,300.0,78,40,3.09
